Source,Destination,Protocol,Size
142.250.150.84,192.168.1.35,HTTPS,74
192.168.1.35,142.250.150.84,HTTPS,66
192.168.1.35,142.250.150.84,HTTPS,1891
142.251.209.142,192.168.1.35,HTTP,74
192.168.1.35,142.251.209.142,HTTP,66
192.168.1.35,142.251.209.142,HTTP,475
178.248.237.68,192.168.1.35,HTTPS,74
192.168.1.35,178.248.237.68,HTTPS,66
192.168.1.35,178.248.237.68,HTTPS,1816
178.248.237.68,192.168.1.35,HTTPS,74
192.168.1.35,178.248.237.68,HTTPS,66
192.168.1.35,178.248.237.68,HTTPS,1816
142.250.75.228,192.168.1.35,HTTPS,74
192.168.1.35,142.250.75.228,HTTPS,66
192.168.1.35,142.250.75.228,HTTPS,1822
142.250.150.84,192.168.1.35,HTTPS,66
142.250.150.84,192.168.1.35,HTTPS,2866
142.250.150.84,192.168.1.35,HTTPS,1352
192.168.1.35,142.250.150.84,HTTPS,66
192.168.1.35,142.250.150.84,HTTPS,66
192.168.1.35,142.250.150.84,HTTPS,140
192.168.1.35,142.250.150.84,HTTPS,158
192.168.1.35,142.250.150.84,HTTPS,424
192.168.1.35,142.250.150.84,HTTPS,98
178.248.237.68,192.168.1.35,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,1514
192.168.1.35,178.248.237.68,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,1858
192.168.1.35,178.248.237.68,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,410
192.168.1.35,178.248.237.68,HTTPS,78
192.168.1.35,178.248.237.68,HTTPS,130
192.168.1.35,178.248.237.68,HTTPS,158
192.168.1.35,178.248.237.68,HTTPS,595
178.248.237.68,192.168.1.35,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,1514
192.168.1.35,178.248.237.68,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,1857
192.168.1.35,178.248.237.68,HTTPS,66
192.168.1.35,178.248.237.68,HTTPS,130
178.248.237.68,192.168.1.35,HTTPS,409
192.168.1.35,178.248.237.68,HTTPS,78
142.250.150.84,192.168.1.35,HTTPS,1034
192.168.1.35,142.250.150.84,HTTPS,97
142.250.150.84,192.168.1.35,HTTPS,97
142.250.150.84,192.168.1.35,HTTPS,66
142.250.150.84,192.168.1.35,HTTPS,1403
192.168.1.35,142.250.150.84,HTTPS,66
142.250.150.84,192.168.1.35,HTTPS,97
142.250.150.84,192.168.1.35,HTTPS,105
192.168.1.35,142.250.150.84,HTTPS,66
192.168.1.35,142.250.150.84,HTTPS,105
142.251.209.142,192.168.1.35,HTTP,66
142.251.209.142,192.168.1.35,HTTP,1209
192.168.1.35,142.251.209.142,HTTP,66
142.251.209.142,192.168.1.35,HTTP,86
192.168.1.35,142.251.209.142,HTTP,66
192.168.1.35,142.251.209.142,HTTP,66
192.168.1.35,178.248.237.68,HTTPS,66
192.168.1.35,142.250.75.228,HTTPS,66
192.168.1.35,142.250.75.228,HTTPS,74
192.168.1.35,142.250.150.84,HTTPS,66
142.250.75.228,192.168.1.35,HTTPS,66
142.250.75.228,192.168.1.35,HTTPS,66
142.250.75.228,192.168.1.35,HTTPS,2866
142.250.75.228,192.168.1.35,HTTPS,1466
192.168.1.35,142.250.75.228,HTTPS,54
192.168.1.35,142.250.75.228,HTTPS,54
142.250.75.228,192.168.1.35,HTTPS,1247
192.168.1.35,142.250.75.228,HTTPS,54
178.248.237.68,192.168.1.35,HTTPS,337
178.248.237.68,192.168.1.35,HTTPS,337
192.168.1.35,178.248.237.68,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,128
178.248.237.68,192.168.1.35,HTTPS,97
192.168.1.35,178.248.237.68,HTTPS,66
192.168.1.35,178.248.237.68,HTTPS,97
178.248.237.68,192.168.1.35,HTTPS,337
178.248.237.68,192.168.1.35,HTTPS,337
192.168.1.35,178.248.237.68,HTTPS,54
192.168.1.35,178.248.237.68,HTTPS,54
142.250.150.84,192.168.1.35,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,128
192.168.1.35,178.248.237.68,HTTPS,54
142.250.150.84,192.168.1.35,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,97
192.168.1.35,178.248.237.68,HTTPS,78
142.250.150.84,192.168.1.35,HTTPS,66
192.168.1.35,142.250.150.84,HTTPS,66
178.248.237.68,192.168.1.35,HTTPS,128
192.168.1.35,178.248.237.68,HTTPS,54
178.248.237.68,192.168.1.35,HTTPS,66
192.168.1.35,178.248.237.68,HTTPS,54
192.168.1.35,142.251.142.14,HTTPS,105
142.250.75.228,192.168.1.35,HTTPS,74
192.168.1.35,142.250.75.228,HTTPS,66
142.251.209.142,192.168.1.35,HTTP,66
192.168.1.35,142.251.209.142,HTTP,66
192.168.1.35,142.250.75.228,HTTPS,1854
142.250.75.228,192.168.1.35,HTTPS,66
